I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 1002112.4175, 1075008.0
64, 64, 65, 64, 3, 3, 1015977.8411, 1057980.0
64, 64, 66, 64, 3, 3, 1029825.6981, 1048824.0
64, 64, 67, 64, 3, 3, 1043656.3459, 35010649.0
64, 64, 68, 64, 3, 3, 1057470.1292, 1134816.0
64, 64, 69, 64, 3, 3, 1071267.3813, 1120248.0
64, 64, 70, 64, 3, 3, 1085048.4235, 1128640.0
64, 64, 71, 64, 3, 3, 1098813.5556, 37100837.0
64, 64, 72, 64, 3, 3, 1112563.1117, 1129680.0
64, 64, 73, 64, 3, 3, 1126297.3481, 38145931.0
64, 64, 74, 64, 3, 3, 1140016.5607, 1465552.0
64, 64, 75, 64, 3, 3, 1153721.0162, 1199300.0
64, 64, 76, 64, 3, 3, 1167410.9876, 1254432.0
64, 64, 77, 64, 3, 3, 1181086.7228, 1238412.0
64, 64, 78, 64, 3, 3, 1194748.4732, 1210536.0
64, 64, 79, 64, 3, 3, 1208396.4788, 81320822.5
64, 64, 80, 64, 3, 3, 1222030.9733, 1269960.0
64, 64, 81, 64, 3, 3, 1235652.1828, 1276776.0
64, 64, 82, 64, 3, 3, 1249260.3296, 1613776.0
64, 64, 83, 64, 3, 3, 1262855.6253, 85438332.5
